CNAE	Setor / Indústria	Categoria
6201-5/02	 Internet                             	Serviços
6202-3/00	 Internet                             	Serviços
6203-1/00	Tecnologia da Informação             	Serviços
6204-0/00	Tecnologia da Informação             	Serviços
6209-1/00	Tecnologia da Informação             	Serviços
6311-9/00	Tecnologia da Informação             	Serviços
6319-4/00	Tecnologia da Informação             	Serviços
6391-7/00	Tecnologia da Informação             	Serviços
6399-2/00	  Internet	Serviços
6410-7/00	  Internet	Serviços
6421-2/00	  Internet	Serviços
6422-1/00	  Internet	Serviços
6423-9/00	Inst. Financeiras	Serviços
6424-7/01	Inst. Financeiras	Serviços
6424-7/02	Inst. Financeiras	Serviços
6424-7/03	Inst. Financeiras	Serviços
6424-7/04	Inst. Financeiras	Serviços
6431-0/00	Inst. Financeiras	Serviços
6432-8/00	Inst. Financeiras	Serviços
6433-6/00	Inst. Financeiras	Serviços
6434-4/00	Inst. Financeiras	Serviços
6435-2/01	Inst. Financeiras	Serviços
6435-2/02	Inst. Financeiras	Serviços
6435-2/03	Inst. Financeiras	Serviços
6436-1/00	Inst. Financeiras	Serviços
6437-9/00	Inst. Financeiras	Serviços
6438-7/01	Inst. Financeiras	Serviços
6438-7/02	Inst. Financeiras	Serviços
6440-9/00	Intermed. Financeira Não-Monetária	Serviços
6450-6/00	Intermed. Financeira Não-Monetária	Serviços
6461-1/00	Intermed. Financeira Não-Monetária	Serviços
6462-0/00	Intermed. Financeira Não-Monetária	Serviços
6463-8/00	Intermed. Financeira Não-Monetária	Serviços
6470-1/01	Intermed. Financeira Não-Monetária	Serviços
6470-1/02	Intermed. Financeira Não-Monetária	Serviços
6470-1/03	Intermed. Financeira Não-Monetária	Serviços
6491-3/00	Intermed. Financeira Não-Monetária	Serviços
6492-1/00	Intermed. Financeira Não-Monetária	Serviços
6493-0/00	Intermed. Financeira Não-Monetária	Serviços
6499-9/01	Intermed. Financeira Não-Monetária	Serviços
6499-9/02	Intermed. Financeira Não-Monetária	Serviços
6499-9/03	Intermed. Financeira Não-Monetária	Serviços
6499-9/04	Intermed. Financeira Não-Monetária	Serviços
6499-9/05	Intermed. Financeira Não-Monetária	Serviços
6499-9/99	Intermed. Financeira Não-Monetária	Serviços
6511-1/01	Seguros e Previdência	Serviços
6511-1/02	Seguros e Previdência	Serviços
6512-0/00	Seguros e Previdência	Serviços
6520-1/00	Seguros e Previdência	Serviços
6530-8/00	Seguros e Previdência	Serviços
6541-3/00	Seguros e Previdência	Serviços
6542-1/00	Seguros e Previdência	Serviços
6550-2/00	Seguros e Previdência	Serviços
6611-8/01	Mercado Financeiro	Serviços
6611-8/02	Mercado Financeiro	Serviços
6611-8/03	Mercado Financeiro	Serviços
6611-8/04	Mercado Financeiro	Serviços
6612-6/01	Mercado Financeiro	Serviços
6612-6/02	Mercado Financeiro	Serviços
6612-6/03	Mercado Financeiro	Serviços
6612-6/04	Mercado Financeiro	Serviços
6612-6/05	Mercado Financeiro	Serviços
6613-4/00	Mercado Financeiro	Serviços
6619-3/01	Mercado Financeiro	Serviços
6619-3/02	Mercado Financeiro	Serviços
6619-3/03	Mercado Financeiro	Serviços
6619-3/04	Mercado Financeiro	Serviços
6619-3/05	Mercado Financeiro	Serviços
6619-3/99	Mercado Financeiro	Serviços
6621-5/01	Seguros e Serviços Relacionados	Serviços
6621-5/02	Seguros e Serviços Relacionados	Serviços
6622-3/00	Seguros e Serviços Relacionados	Serviços
6629-1/00	Seguros e Serviços Relacionados	Serviços
6630-4/00	Gestão de Fundos	Serviços
6810-2/01	Imobiliárias	Serviços
6810-2/02	Imobiliárias	Serviços
6810-2/03	Imobiliárias	Serviços
6821-8/01	Imobiliárias	Serviços
6821-8/02	Imobiliárias	Serviços
6822-6/00	Imobiliárias	Serviços
6911-7/01	Jurídicas e de Contabilidade	Serviços
6911-7/02	Jurídicas e de Contabilidade	Serviços
6911-7/03	Jurídicas e de Contabilidade	Serviços
6912-5/00	Jurídicas e de Contabilidade	Serviços
